SentencePath,NEW_SENT_NAME
ABRIR_CORTINA_ORACION_1.mp4,ABRIR_ORACION_6.mp4
ABRIR_ORACION_1.mp4,ABRIR_ORACION_1.mp4
ABRIR_ORACION_2.mp4,ABRIR_ORACION_2.mp4
ABRIR_ORACION_3.mp4,ABRIR_ORACION_3.mp4
ABRIR_ORACION_4.mp4,ABRIR_ORACION_4.mp4
ABRIR_ORACION_5.mp4,ABRIR_ORACION_5.mp4
ABURRIDO_ORACION_1.mp4,ABURRIDO_ORACION_1.mp4
ABURRIDO_ORACION_3.mp4,ABURRIDO_ORACION_3.mp4
ABURRIDO_ORACION_4.mp4,ABURRIDO_ORACION_4.mp4
ACERCARSE_1_ORACION.mp4,ACERCAR_ORACION_2.mp4
ADIVINA_ORACION.mp4,ADIVINA_ORACION_1.mp4
AHI_ORACION.mp4,AHI_ORACION_1.mp4
AHORA_1_ORACION.mp4,AHORA_ORACION_1.mp4
AHORA_2_ORACION.mp4,AHORA_ORACION_2.mp4
AJA_ORACION_1.mp4,AJA_ORACION_1.mp4
AJA_ORACION_2.mp4,AJA_ORACION_2.mp4
AJA_ORACION_3.mp4,AJA_ORACION_3.mp4
AJA_ORACION_4.mp4,AJA_ORACION_4.mp4
AJA_ORACION_5.mp4,AJA_ORACION_5.mp4
ALGUNOS_1_ORACION.mp4,ALGUNOS_ORACION_1.mp4
ALGUNOS_2_ORACION.mp4,ALGUNOS_ORACION_2.mp4
ALLA_ORACION.mp4,ALLA_ORACION_1.mp4
ALTO_ALTURA_ORACION.mp4,ALTO_ORACION_1.mp4
AMANECER_1_ORACION.mp4,AMANECER_ORACION_1.mp4
AMANECER_2_ORACION.mp4,AMANECER_ORACION_2.mp4
AMANECER_3_ORACION.mp4,AMANECER_ORACION_3.mp4
AMIGO_ORACION.mp4,AMIGO_ORACION_1.mp4
ANILLO_ORACION.mp4,ANILLO_ORACION_1.mp4
ANOCHECER_ORACION.mp4,ANOCHECER_ORACION_1.mp4
ANTES_ORACION.mp4,ANTES_ORACION_1.mp4
ATARDECER_ORACION.mp4,ATARDECER_ORACION_1.mp4
BAJAR_CAER_ORACION.mp4,BAJAR_ORACION_2.mp4
BAJAR_CAER_ORACION_2.mp4,BAJAR_ORACION_1.mp4
BAJITO_ENANO_ORACION.mp4,BAJO_ORACION_1.mp4
BAJO_ORACION.mp4,BAJO_ORACION_2.mp4
BASTANTE_2_ORACION.mp4,BASTANTE_ORACION_1.mp4
BASTANTE_APILABLE_ORACION.mp4,BASTANTE_ORACION_2.mp4
BASTANTE_COSAS_Y_PERSONAS_1_ORACION.mp4,BASTANTE_ORACION_3.mp4
BASTANTE_DINERO_ORACION.mp4,BASTANTE_ORACION_4.mp4
BIEN_2_ORACION.mp4,BIEN_ORACION_6.mp4
BIEN_ORACION_3.mp4,BIEN_ORACION_3.mp4
BOLA_ORACION.mp4,BOLA_ORACION_1.mp4
BOTE_ORACION.mp4,BOTE_ORACION_2.mp4
CAER_EL_SOL_1_ORACION.mp4,CAER_ORACION_1.mp4
CAER_EL_SOL_2_ORACION.mp4,CAER_ORACION_2.mp4
CAER_GOTAS_DE_SUDOR_1_ORACION.mp4,CAER_ORACION_3.mp4
CAER_GOTAS_DE_SUDOR_2_ORACION.mp4,CAER_ORACION_4.mp4
CAJA_ESTUCHE_ORACION.mp4,CAJA_ORACION_3.mp4
CAJA_ORACION_1.mp4,CAJA_ORACION_1.mp4
CAJA_ORACION_2.mp4,CAJA_ORACION_2.mp4
CAJON_1_ORACION_TOMA2.mp4,CAJON_ORACION_1.mp4
CAJON_2_ORACION.mp4,CAJON_ORACION_2.mp4
CALOR_ORACION.mp4,CALOR_ORACION_1.mp4
CAMA_CAMAROTE_ORACION.mp4,CAMA_ORACION_2.mp4
CAMA_ORACION.mp4,CAMA_ORACION_1.mp4
CAMINAR_2_ORACION.mp4,CAMINAR_ORACION_2.mp4
CAMINAR_AVES_ORACION.mp4,CAMINAR_ORACION_3.mp4
CAMINAR_PERSONA_1_ORACION.mp4,CAMINAR_ORACION_6.mp4
CARGAR_MOCHILA_ORACION.mp4,CARGAR_ORACION_1.mp4
CASACA_ORACION.mp4,CASACA_ORACION_1.mp4
CASA_ORACION.mp4,CASA_ORACION_1.mp4
